城市,省份,区域,年份,创新指数,数字经济发展指数,宽带接入率,财政科技支出,人力资本,产业结构升级,人口密度,智慧城市试点,绿色专利占比
上海,上海,东部,2018,82.5,78.6,91.1,5.8,41.4,58.2,3818,1,14.5
上海,上海,东部,2019,84.4,80.1,92.2,6.1,42.2,59.2,3829,1,15.8
上海,上海,东部,2020,85.4,81.4,93.2,6.3,42.9,60.0,3840,1,16.9
上海,上海,东部,2021,87.5,82.9,94.3,6.6,43.6,61.0,3851,1,18.2
上海,上海,东部,2022,88.8,84.3,95.2,6.9,44.3,61.8,3862,1,19.3
上海,上海,东部,2023,90.7,86.0,96.5,7.2,45.0,62.8,3873,1,20.7
上海,上海,东部,2024,91.9,87.4,97.5,7.5,45.7,63.7,3884,1,22.0
上海,上海,东部,2025,93.8,89.2,98.8,7.8,46.6,64.8,3895,1,23.4
上海,上海,东部,2026,95.4,90.6,99.0,8.1,47.3,65.7,3906,1,24.7
苏州,江苏,东部,2018,74.5,70.4,86.5,4.6,35.4,56.8,1240,1,10.7
苏州,江苏,东部,2019,76.1,71.7,87.5,4.9,36.1,57.7,1254,1,11.9
苏州,江苏,东部,2020,77.4,73.4,88.6,5.2,36.8,58.6,1268,1,13.1
苏州,江苏,东部,2021,79.2,74.5,89.5,5.4,37.5,59.4,1282,1,14.2
苏州,江苏,东部,2022,80.9,76.4,90.6,5.7,38.2,60.4,1296,1,15.5
苏州,江苏,东部,2023,82.5,77.8,91.6,6.0,38.9,61.3,1310,1,16.7
苏州,江苏,东部,2024,84.1,79.7,92.9,6.3,39.7,62.3,1324,1,18.2
苏州,江苏,东部,2025,85.7,81.2,94.0,6.6,40.5,63.3,1338,1,19.5
苏州,江苏,东部,2026,87.3,82.7,95.0,6.9,41.2,64.2,1352,1,20.7
杭州,浙江,东部,2018,77.1,75.5,88.7,4.9,37.6,54.5,1512,1,12.5
杭州,浙江,东部,2019,79.0,77.3,89.8,5.2,38.3,55.4,1529,1,13.8
杭州,浙江,东部,2020,80.0,78.6,90.7,5.4,39.0,56.2,1546,1,14.9
杭州,浙江,东部,2021,82.2,80.3,91.8,5.7,39.7,57.2,1563,1,16.1
杭州,浙江,东部,2022,83.6,81.8,92.7,6.0,40.4,58.0,1580,1,17.2
杭州,浙江,东部,2023,85.6,83.8,94.0,6.3,41.1,59.0,1597,1,18.6
杭州,浙江,东部,2024,87.0,85.4,95.1,6.6,41.9,60.0,1614,1,19.9
杭州,浙江,东部,2025,88.5,87.0,96.1,6.9,42.6,60.9,1631,1,21.2
杭州,浙江,东部,2026,90.5,88.9,97.4,7.2,43.5,62.0,1648,1,22.6
南京,江苏,东部,2018,72.6,69.0,85.5,4.5,37.0,53.9,1108,0,10.1
南京,江苏,东部,2019,74.6,70.3,86.4,4.8,37.6,54.7,1120,1,11.6
南京,江苏,东部,2020,75.9,71.8,87.5,5.1,38.3,55.6,1132,1,12.8
南京,江苏,东部,2021,77.6,72.9,88.4,5.3,39.0,56.4,1144,1,13.9
南京,江苏,东部,2022,79.3,74.7,89.6,5.6,39.7,57.4,1156,1,15.2
南京,江苏,东部,2023,81.0,76.2,90.7,5.9,40.4,58.3,1168,1,16.5
南京,江苏,东部,2024,82.2,77.6,91.7,6.2,41.2,59.2,1180,1,17.8
南京,江苏,东部,2025,84.1,79.4,93.0,6.5,42.0,60.3,1192,1,19.2
南京,江苏,东部,2026,85.7,80.8,94.0,6.8,42.7,61.2,1204,1,20.5
广州,广东,南部,2018,75.7,72.3,87.8,4.8,38.7,55.2,2040,1,11.9
广州,广东,南部,2019,77.6,73.8,88.9,5.1,39.5,56.1,2059,1,13.2
广州,广东,南部,2020,78.5,75.0,89.8,5.3,40.1,56.9,2078,1,14.3
广州,广东,南部,2021,80.7,76.6,91.0,5.6,40.9,57.9,2097,1,15.5
广州,广东,南部,2022,82.1,78.1,91.9,5.9,41.5,58.8,2116,1,16.7
广州,广东,南部,2023,83.7,79.5,93.0,6.2,42.2,59.7,2135,1,18.0
广州,广东,南部,2024,85.3,81.4,94.3,6.5,43.0,60.7,2154,1,19.4
广州,广东,南部,2025,86.9,82.8,95.3,6.8,43.8,61.7,2173,1,20.7
广州,广东,南部,2026,88.8,84.6,96.6,7.1,44.6,62.7,2192,1,22.1
深圳,广东,南部,2018,80.5,79.6,90.5,5.4,40.8,57.0,6482,1,14.2
深圳,广东,南部,2019,82.1,81.0,91.4,5.7,41.5,57.8,6506,1,15.3
深圳,广东,南部,2020,83.5,82.8,92.6,5.9,42.2,58.8,6530,1,16.6
深圳,广东,南部,2021,85.4,84.2,93.5,6.2,42.9,59.6,6554,1,17.7
深圳,广东,南部,2022,86.9,85.8,94.4,6.5,43.5,60.4,6578,1,18.9
深圳,广东,南部,2023,88.9,87.8,95.7,6.8,44.3,61.5,6602,1,20.3
深圳,广东,南部,2024,90.2,89.5,96.8,7.1,45.1,62.4,6626,1,21.6
深圳,广东,南部,2025,92.1,91.5,98.1,7.4,45.9,63.5,6650,1,23.0
深圳,广东,南部,2026,93.7,93.0,99.0,7.7,46.6,64.4,6674,1,24.2
合肥,安徽,中部,2018,63.2,58.6,78.3,3.7,31.8,47.6,723,0,7.3
合肥,安徽,中部,2019,65.2,60.3,79.5,4.0,32.5,48.5,732,0,8.6
合肥,安徽,中部,2020,66.3,61.7,80.4,4.2,33.2,49.4,741,0,9.8
合肥,安徽,中部,2021,68.6,63.2,81.3,4.5,33.9,50.2,750,1,11.3
合肥,安徽,中部,2022,70.4,65.1,82.5,4.8,34.6,51.1,759,1,12.6
合肥,安徽,中部,2023,72.1,66.8,83.6,5.1,35.3,52.1,768,1,13.9
合肥,安徽,中部,2024,73.7,68.7,84.8,5.4,36.1,53.1,777,1,15.3
合肥,安徽,中部,2025,75.2,70.2,85.8,5.7,36.8,54.0,786,1,16.5
合肥,安徽,中部,2026,77.1,72.1,87.1,6.0,37.7,55.1,795,1,17.9
武汉,湖北,中部,2018,66.9,61.6,80.8,4.0,33.9,49.8,1180,0,8.2
武汉,湖北,中部,2019,68.5,63.0,81.7,4.3,34.6,50.7,1193,0,9.3
武汉,湖北,中部,2020,69.5,64.2,82.7,4.5,35.3,51.5,1206,0,10.4
武汉,湖北,中部,2021,72.2,66.1,83.8,4.8,36.0,52.5,1219,1,12.1
武汉,湖北,中部,2022,73.6,67.6,84.8,5.1,36.7,53.3,1232,1,13.2
